procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 187228  74364   1692  72580  116  143  2958   152  262  482  3  2 95  0  0
 2  0 187228  74364   1692  72580    0    0     0    16 1007 1829 16  8 76  0  0
 4  0 187228  74364   1692  72580  332 29856 25540 29912 2983 6236 55 24 22  0  0
 3  0 187228  74364   1692  72580 2104 15744 10424 15744 2151 7884 82 16  0  2  0
10  0 187228  74364   1692  72580 10376 25452 14492 25632 3978 8867 81 19  0  0  0
 1  0 187228  74364   1692  72580 4228    0  4228     0 1670 3938 41 11 47  1  0
 4  0 187228  74364   1692  72580  328    0   384     0 1186 3338 32  8 60  0  0
 4  0 187228  74364   1692  72580 1872    0  1936    36 1379 4007 35  6 58  0  0
 1  0 187228  74364   1692  72580  156    0   156     0 1255 4097 31  7 62  0  0
 3  0 187228  74364   1692  72580  580    0   604    20 1364 4119 30 10 60  0  0
 1  0 187228  74364   1692  72580 1264 1624  1460  1624 1581 4488 41 10 49  0  0
 1  0 187228  74364   1692  72580 2748    0  2748     0 1765 4837 40 12 48  1  0
 1  0 187228  74364   1692  72580  248    0   248    24 1443 4321 37  8 55  0  0
 1  0 187228  74364   1692  72580  344    0   352     0 1466 4739 31 11 58  0  0
 2  0 187228  74364   1692  72580  384  484   396  1600 1356 3888 32  9 59  0  0
 1  0 187228  74364   1692  72580 1052    0  1060     0 1682 4987 40 10 49  1  0
 1  0 187228  74364   1692  72580  140    0   140     0 1320 3626 28  9 63  0  0
 3  0 187228  74364   1692  72580  384    0  1496    32 1276 3703 33  8 59  0  0
 2  0 187228  74364   1692  72580  204    0   204     0 1172 3563 29 12 59  0  0
 1  0 187228  74364   1692  72580  620    0  1092    20 1283 3561 35 11 54  0  0
 1  0 187228  74364   1692  72580  468    0   980     0 1230 3610 37  8 55  0  0
 1  0 187228  74364   1692  72580   36    0    56     0 1102 3267 39  7 54  0  0
 1  0 187228  74364   1692  72580   56    0    56    16 1143 3550 36 11 53  0  0
 1  0 187228  74364   1692  72580   16    0    16     0 1029 3343 35 11 54  0  0
 3  0 187228  74364   1692  72580   80    0    80    20 1069 3245 39  9 52  0  0
 2  0 187228  74364   1692  72580  552    0   552     0 1210 3603 37  9 53  1  0
11  0 187228  74364   1692  72580  192 2648   192  3820 1568 3517 41 12 46  0  0
 3  0 187228  74364   1692  72580 11852 37684 11920 37716 3309 6162 48 24 28  1  0
 6  0 187228  74364   1692  72580 1840 2108  1928  2108 1770 4699 35 16 47  1  0
 1  0 187228  74364   1692  72580 1996    0  1996     0 1536 4355 42  7 51  0  0
 1  0 187228  74364   1692  72580  144    0   160     0 1267 3582 39  5 56  0  0
 8  0 187228  74364   1692  72580   56    0    56     0 1179 3327 35 11 54  0  0
10  0 187228  74364   1692  72580  276    0   292    36 1374 4010 39  9 52  0  0
10  0 187228  74364   1692  72580  316    0   316     0 1309 3823 42  4 53  1  0
 3  0 187228  74364   1692  72580  316    0   316     0 1359 3851 35 10 55  0  0
 4  0 187228  74364   1692  72580  284    0   284     0 1282 3768 30 10 60  0  0
 1  0 187228  74364   1692  72580  128    0   140     0 1241 3301 30  6 64  0  0
 1  0 187228  74364   1692  72580   36    0    36    36 1188 3349 26  6 68  0  0
 1  0 187228  74364   1692  72580   64    0    64     0 1256 3723 33  4 63  0  0
 1  0 187228  74364   1692  72580    8 3416  1988  4792 1430 3231 28 11 61  0  0
 1  0 187228  74364   1692  72580   24    0    24     0 1172 3433 28  5 67  0  0
 1  0 187228  74364   1692  72580  172    0   280     0 1210 3532 31  6 63  0  0
 1  0 187228  74364   1692  72580 4456    0  4456    32 1936 5332 29 12 57  2  0
 2  0 187228  74364   1692  72580  156    0   212     0 1117 3249 31  8 60  0  0
 2  0 187228  74364   1692  72580  184    0   184    20 1173 3508 33  8 59  0  0
 1  0 187228  74364   1692  72580 1144    0  1244     0 1386 4073 33  8 58  0  0
 3  0 187228  74364   1692  72580  164    0   164     0 1263 4015 26  8 66  0  0
 1  0 187228  74364   1692  72580   12 4744   624  5524 1832 3818 32 11 57  0  0
 3  0 187228  74364   1692  72580  524    0   876     0 1329 3947 31 10 58  1  0
 1  0 187228  74364   1692  72580   80    0  1528     0 1102 2973 28  8 64  0  0
 1  0 187228  74364   1692  72580  404    0   512     0 1339 3743 28 11 61  0  0
 1  0 187228  74364   1692  72580  140    0   140     0 1203 3396 38  7 55  0  0
 1  0 187228  74364   1692  72580   60 5376    60  5960 1576 3599 46 11 44  0  0
 1  0 187228  74364   1692  72580 2012 12916  2120 12916 1801 4073 41 13 46  0  0
 2  0 187228  74364   1692  72580  716    0   848     0 1453 3885 38  9 53  0  0
 1  0 187228  74364   1692  72580  316    0   336     0 1278 3388 35 11 54  0  0
 4  0 187228  74364   1692  72580 2600    0  2648     0 1844 4877 34 11 53  1  0
 1  0 187228  74364   1692  72580  740    0   884    40 1484 4076 36 10 54  0  0
 1  0 187228  74364   1692  72580   60    0   156     0 1430 3741 26  7 67  0  0
 2  0 187228  74364   1692  72580   80    0   104     0 1475 3534 33 13 54  0  0
 1  0 187228  74364   1692  72580  432    0   432     0 1601 3900 35 12 53  0  0
 1  0 187228  74364   1692  72580  236    0   236     0 1571 3590 26  9 64  1  0
 3  0 187228  74364   1692  72580   32    0   120    36 1588 3519 30  9 61  0  0
 1  0 187228  74364   1692  72580  440    0   440     0 1752 4081 29  9 62  0  0
 3  0 187228  74364   1692  72580 5644 4912  5904  6172 2957 6033 27 15 57  1  0
 2  0 187228  74364   1692  72580 37448 74552 37452 74552 12881 24183 22 63  0 15  0
 2  0 187228  74364   1692  72580 55420 29104 57756 29104 14066 27548 16 64  0 20  0
 3  0 187228  74364   1692  72580 64692 88892 69356 88896 16829 20742  7 90  0  3  0
 2  0 187228  74364   1692  72580 92460 71904 103268 71944 14674 22105 10 76  0 14  0
 3  0 187228  74364   1692  72580 78840 82692 81668 82732 16659 21873  7 82  0 11  0
 2  0 187228  74364   1692  72580 81612 64232 92284 64232 15714 21528  7 87  0  6  0
 9  0 187228  74364   1692  72580 54504 60024 68284 60024 14929 20395 12 77  0 11  0
 8  0 187228  74364   1692  72580 51948 35456 70540 35504 13205 17126 25 75  0  0  0
 8  0 187228  74364   1692  72580 37296 38008 52212 38164 10803 12754 32 68  0  0  0
 7  0 187228  74364   1692  72580 19172 14128 35420 14172 6122 9768 66 34  0  0  0
