procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 156424 155908   1900  73356  117  142  3041   151  257  466  3  1 96  0  0
 1  0 156424 155908   1900  73356    0    0     0     0  927 1654 21  7 72  0  0
 2  0 156424 155908   1900  73356   60    0 21628    56 1644 3824 37 16 46  1  0
 3  0 156424 155908   1900  73356   60    0  7604     0 1501 7028 83 11  5  1  0
 2  0 156424 155908   1900  73356 1456 12412  5224 12412 2128 5536 88 10  1  1  0
 1  0 156424 155908   1900  73356  164 6036   164  6036 1067 2636 30  8 62  0  0
 1  0 156424 155908   1900  73356  516    0   580     0 1146 3101 31  6 63  0  0
 2  0 156424 155908   1900  73356  804    0   804    72 1284 3871 29  7 64  0  0
 5  0 156424 155908   1900  73356  276    0   276     0 1224 3408 31  5 64  0  0
 9  0 156424 155908   1900  73356  812    0   812     0 1334 3878 37  8 55  0  0
 3  0 156424 155908   1900  73356  496    0   496     0 1297 3891 43  8 48  0  0
 5  0 156424 155908   1900  73356  324    0   324     0 1157 3343 32 10 57  0  0
 2  0 156424 155908   1900  73356  324    0   324    20 1179 3553 27  6 67  0  0
 1  0 156424 155908   1900  73356   64    0    72    20 1213 4097 28  9 63  0  0
 5  0 156424 155908   1900  73356   28    0    28     0 1213 3728 28  8 64  0  0
 6  0 156424 155908   1900  73356   12    0    12    16 1187 3767 29 12 60  0  0
 3  0 156424 155908   1900  73356    8    0     8     0 1103 3237 34  8 58  0  0
 3  0 156424 155908   1900  73356    4    0     4    20 1095 3319 31 10 59  0  0
 4  0 156424 155908   1900  73356  120    0   120    20  915 2706 29 10 61  0  0
 2  0 156424 155908   1900  73356   88    0    88     0 1037 3025 37  5 58  0  0
 3  0 156424 155908   1900  73356   60    0    60    60 1071 3139 34 10 55  1  0
 2  0 156424 155908   1900  73356   48 1180    48  1180  836 2475 29  6 64  0  0
 2  0 156424 155908   1900  73356   24 6412    24  6432 1348 2787 35  7 57  0  0
 2  0 156424 155908   1900  73356    0    0     0    20  962 2905 34 10 56  0  0
 1  0 156424 155908   1900  73356   56    0    56     0 1088 3353 30  9 61  0  0
 1  0 156424 155908   1900  73356  124    0   124     0 1006 3180 32 12 56  0  0
 1  0 156424 155908   1900  73356  112    0   112     0  947 2724 30 10 60  0  0
 1  0 156424 155908   1900  73356  160 7200   160  7220 1254 3397 45 11 44  0  0
 3  0 156424 155908   1900  73356   20    0   172    20 1021 3052 32  8 60  0  0
 2  0 156424 155908   1900  73356  492    0   492     0 1058 2978 37  8 55  0  0
 1  0 156424 155908   1900  73356  132    0   136  1932 1063 3105 30  9 61  0  0
 5  0 156424 155908   1900  73356  204    0   204     0 1243 3758 38  9 53  0  0
 3  0 156424 155908   1900  73356    4    0     4    32 1156 3658 34 13 53  0  0
 1  0 156424 155908   1900  73356 1220    0  1220   304 1303 3825 40  8 52  0  0
 1  0 156424 155908   1900  73356  208    0   208     0 1144 3307 37 12 51  0  0
 1  0 156424 155908   1900  73356  332    0   332     0 1111 3303 33  9 58  0  0
 1  0 156424 155908   1900  73356   44    0    44     0 1022 2959 33  9 57  0  0
 1  0 156424 155908   1900  73356  380    0   380    36 1089 3048 31  9 59  0  0
 1  0 156424 155908   1900  73356   28    0    28    20 1014 3050 32  8 60  0  0
 1  0 156424 155908   1900  73356  264    0   264     0 1005 2914 35 11 55  0  0
 1  0 156424 155908   1900  73356   24    0    24     0  968 2794 34  6 60  0  0
 1  0 156424 155908   1900  73356   36    0    36     0 1023 2904 37  6 56  1  0
 1  0 156424 155908   1900  73356  448    0   448     0 1193 3257 51  7 42  0  0
 1  0 156424 155908   1900  73356  144    0   144    40 1093 3234 34  9 57  0  0
 1  0 156424 155908   1900  73356   64    0    64     0 1107 3418 37  9 54  0  0
 3  0 156424 155908   1900  73356  864    0   864     0 1169 3379 38  9 53  0  0
 3  0 156424 155908   1900  73356   20    0    20     0 1058 3115 33  5 62  0  0
 1  0 156424 155908   1900  73356 2076  648  2120  1732 1215 2991 44 11 45  0  0
 1  0 156424 155908   1900  73356  340    0   396    32 1111 3297 32  8 59  0  0
 1  0 156424 155908   1900  73356   40    0    40     0 1110 3219 27  6 67  0  0
 2  0 156424 155908   1900  73356    8 2924    88  2924 1284 3180 25  6 68  0  0
 2  0 156424 155908   1900  73356   72    0    72     0  953 2693 30  8 62  0  0
 2  0 156424 155908   1900  73356  208    0   208    20 1146 3321 43  7 50  0  0
 1  0 156424 155908   1900  73356  932 4896   932  4916 1582 3808 37  8 54  1  0
 1  0 156424 155908   1900  73356  356    0   356     0 1053 2774 27  8 65  0  0
 1  0 156424 155908   1900  73356  156    0   156     0 1237 3210 24  8 68  0  0
 1  0 156424 155908   1900  73356  168    0   168     0 1224 3189 31  5 64  0  0
 1  0 156424 155908   1900  73356 1264    0  1264     0 1320 3488 29  7 64  0  0
 4  0 156424 155908   1900  73356  156    0   168    40 1209 3180 29  8 63  0  0
 1  0 156424 155908   1900  73356  112    0   112     0 1339 3172 33  9 58  0  0
 1  0 156424 155908   1900  73356   60    0    60     0 1216 3044 20  5 75  0  0
 1  0 156424 155908   1900  73356 1232    0  1232     0 1411 3260 31  9 59  1  0
 3  0 156424 155908   1900  73356  140    0   140     0 1269 2974 33  8 59  0  0
 2  0 156424 155908   1900  73356   40 2744  3228  2784 1760 3536 32 17 51  0  0
 3  0 156424 155908   1900  73356   72    0    72     0 1419 3240 39  6 55  0  0
 3  0 156424 155908   1900  73356  300    0   300     0 1464 3401 29 15 56  0  0
 1  0 156424 155908   1900  73356  176    0   176     0 1444 3537 35 10 55  0  0
 1  0 156424 155908   1900  73356  204    0   204     0 1437 3639 38  9 53  0  0
 1  0 156424 155908   1900  73356  200    0   232   236 1304 3317 36 10 54  0  0
 2  0 156424 155908   1900  73356   44 1680    44  1680 1265 3010 29 14 57  0  0
 1  0 156424 155908   1900  73356  524    0   524     0 1213 3091 33 10 57  0  0
 1  0 156424 155908   1900  73356  268 3812   268  3812 1389 3150 33  9 58  0  0
 1  0 156424 155908   1900  73356   44   92    44    92 1190 3204 36  9 55  0  0
 1  0 156424 155908   1900  73356  164 5052   164  7016 1105 2918 34 13 53  0  0
 1  0 156424 155908   1900  73356   92    0    92     0 1184 3373 35  8 57  0  0
 1  0 156424 155908   1900  73356  432    0   432     0 1052 2933 33  9 58  0  0
 3  0 156424 155908   1900  73356  152    0   152     0 1141 3127 31  8 60  0  0
 1  0 156424 155908   1900  73356  768    0   768     0 1217 3397 34 11 54  1  0
 1  0 156424 155908   1900  73356   68    0    68    52 1051 3160 35  8 57  0  0
 1  0 156424 155908   1900  73356   92    0    92     0 1028 2977 35  6 59  0  0
 1  0 156424 155908   1900  73356   28    0    28     0  951 2742 31 10 59  0  0
 1  0 156424 155908   1900  73356  128    0   128     0 1047 3038 33  9 58  0  0
 1  0 156424 155908   1900  73356   60    0    60     0  968 2821 31  6 63  0  0
 1  0 156424 155908   1900  73356   16    0    28    48 1246 3830 35 13 52  0  0
 6  0 156424 155908   1900  73356   28    0    28     0  946 2636 31  9 60  0  0
 7  0 156424 155908   1900  73356    8    0     8     0 1082 3040 32 10 58  0  0
 8  0 156424 155908   1900  73356   16    0    36     0 1075 3010 32 10 57  0  0
 4  0 156424 155908   1900  73356    4    0     4     0  987 2799 33  6 61  0  0
 1  0 156424 155908   1900  73356  132    0   148    48 1052 3083 39  9 52  0  0
 1  0 156424 155908   1900  73356  148    0   148     0 1140 3478 36 10 54  0  0
 4  0 156424 155908   1900  73356 2180 15320  2216 15320 1457 3103 40 12 48  0  0
 2  0 156424 155908   1900  73356  196 2376   196  2376 1100 2991 33  8 59  0  0
 1  0 156424 155908   1900  73356  224    0   224     0 1064 3064 33  9 58  0  0
 1  0 156424 155908   1900  73356   68    0    68    40  988 2905 35  6 59  0  0
 1  0 156424 155908   1900  73356   56    0    76     0 1044 3004 31  9 60  0  0
 1  0 156424 155908   1900  73356  260    0  1140     0 1084 3043 35  6 59  0  0
 2  0 156424 155908   1900  73356 1132    0  1148     0 1241 3557 37  7 55  1  0
 3  0 156424 155908   1900  73356  300    0   320     0 1206 3552 31 10 58  0  0
 7  0 156424 155908   1900  73356   76    0    76    44  974 2778 29  9 62  0  0
 5  0 156424 155908   1900  73356   52    0    64     0 1056 3075 30 11 59  0  0
 3  0 156424 155908   1900  73356  248    0   412     0 1154 3309 35  9 56  0  0
 1  0 156424 155908   1900  73356    8    0     8     0 1090 2834 26  7 67  0  0
 2  0 156424 155908   1900  73356   16    0    16     0 1016 2846 28  6 66  0  0
 2  0 156424 155908   1900  73356   12    0    12    20 1013 2843 22  9 68  0  0
 2  0 156424 155908   1900  73356  216    0   216  2272 1112 3265 33  8 59  0  0
 1  0 156424 155908   1900  73356  164    0   164     0 1112 3150 34  9 57  0  0
 1  0 156424 155908   1900  73356   16    0    16     0  984 2728 33  6 61  0  0
 1  0 156424 155908   1900  73356   40    0    40     0 1015 2775 31  7 61  0  0
 1  0 156424 155908   1900  73356    8    0     8    36 1069 3002 30 10 60  0  0
 1  0 156424 155908   1900  73356  240    0   264    40 1035 3073 34  6 60  0  0
 3  0 156424 155908   1900  73356   44    0    68     0 1035 2955 35  9 56  0  0
 3  0 156424 155908   1900  73356  152    0   152     0 1049 3107 37  8 55  0  0
 2  0 156424 155908   1900  73356   76    0    76     0 1098 3171 32 10 58  0  0
